K上限,实际架次,能耗kWh,makespan_s,加权时延,硬约束违反,目标值,非支配,耗时s
20,20,67.032871,9114.424,0.0,0,0.194606,是,184.28
22,22,69.341458,6884.849,0.0,0,0.177345,是,225.54
25,24,69.315982,6506.093,0.0,0,0.145602,是,168.77
30,24,69.341785,6506.093,0.0,0,0.145368,否,147.0
