机型,ρ,服务区,q_max
A,0.26,S006,25.0
A,0.26,S007,25.0
A,0.26,S008,22.58
A,0.26,S009,25.0
A,0.26,S010,25.0
A,0.26,S011,25.0
A,0.26,S012,25.0
A,0.26,S013,25.0
A,0.26,S014,25.0
A,0.26,S015,25.0
A,0.27,S001,25.0
A,0.27,S002,25.0
A,0.27,S003,25.0
A,0.27,S004,25.0
A,0.27,S005,25.0
A,0.27,S006,25.0
A,0.27,S007,25.0
A,0.27,S008,20.71
A,0.27,S009,25.0
A,0.27,S010,25.0
A,0.27,S011,25.0
A,0.27,S012,25.0
A,0.27,S013,25.0
A,0.27,S014,25.0
A,0.27,S015,25.0
A,0.28,S001,25.0
A,0.28,S002,25.0
A,0.28,S003,25.0
A,0.28,S004,23.57
A,0.28,S005,25.0
A,0.28,S006,25.0
A,0.28,S007,25.0
A,0.28,S008,18.65
A,0.28,S009,25.0
A,0.28,S010,25.0
A,0.28,S011,25.0
A,0.28,S012,25.0
A,0.28,S013,25.0
A,0.28,S014,25.0
A,0.28,S015,25.0
A,0.29,S001,25.0
A,0.29,S002,25.0
A,0.29,S003,25.0
A,0.29,S004,21.71
A,0.29,S005,25.0
A,0.29,S006,25.0
A,0.29,S007,25.0
A,0.29,S008,16.37
A,0.29,S009,25.0
A,0.29,S010,25.0
A,0.29,S011,25.0
A,0.29,S012,25.0
A,0.29,S013,25.0
A,0.29,S014,25.0
A,0.29,S015,25.0
A,0.3,S001,25.0
A,0.3,S002,25.0
A,0.3,S003,24.67
A,0.3,S004,19.68
A,0.3,S005,25.0
A,0.3,S006,25.0
A,0.3,S007,25.0
A,0.3,S008,13.79
A,0.3,S009,25.0
A,0.3,S010,25.0
A,0.3,S011,25.0
A,0.3,S012,25.0
A,0.3,S013,25.0
A,0.3,S014,25.0
A,0.3,S015,25.0
A,0.31,S001,25.0
A,0.31,S002,25.0
A,0.31,S003,22.85
A,0.31,S004,17.43
A,0.31,S005,25.0
A,0.31,S006,25.0
A,0.31,S007,25.0
A,0.31,S008,10.81
A,0.31,S009,25.0
A,0.31,S010,25.0
A,0.31,S011,25.0
A,0.31,S012,23.44
A,0.31,S013,25.0
A,0.31,S014,25.0
A,0.31,S015,25.0
A,0.32,S001,25.0
A,0.32,S002,23.36
A,0.32,S003,20.87
A,0.32,S004,14.9
A,0.32,S005,25.0
A,0.32,S006,25.0
A,0.32,S007,25.0
A,0.32,S008,7.17
A,0.32,S009,25.0
A,0.32,S010,25.0
A,0.32,S011,25.0
A,0.32,S012,21.49
A,0.32,S013,25.0
A,0.32,S014,25.0
A,0.32,S015,25.0
A,0.33,S001,25.0
A,0.33,S002,21.37
A,0.33,S003,18.68
A,0.33,S004,11.99
A,0.33,S005,25.0
A,0.33,S006,25.0
A,0.33,S007,25.0
A,0.33,S008,1.89
A,0.33,S009,25.0
A,0.33,S010,25.0
A,0.33,S011,25.0
A,0.33,S012,19.36
A,0.33,S013,25.0
A,0.33,S014,25.0
A,0.33,S015,25.0
A,0.34,S001,25.0
A,0.34,S002,19.18
A,0.34,S003,16.24
A,0.34,S004,8.52
A,0.34,S005,25.0
A,0.34,S006,25.0
A,0.34,S007,25.0
A,0.34,S008,0.0
A,0.34,S009,25.0
A,0.34,S010,25.0
A,0.34,S011,25.0
A,0.34,S012,16.97
A,0.34,S013,25.0
A,0.34,S014,25.0
A,0.34,S015,25.0
A,0.35,S001,25.0
A,0.35,S002,16.73
A,0.35,S003,13.48
A,0.35,S004,3.9
A,0.35,S005,25.0
A,0.35,S006,25.0
A,0.35,S007,25.0
A,0.35,S008,0.0
A,0.35,S009,25.0
A,0.35,S010,25.0
A,0.35,S011,25.0
A,0.35,S012,14.28
A,0.35,S013,25.0
A,0.35,S014,25.0
A,0.35,S015,25.0
A,0.36,S001,25.0
A,0.36,S002,13.93
A,0.36,S003,10.28
A,0.36,S004,0.0
A,0.36,S005,25.0
A,0.36,S006,25.0
A,0.36,S007,25.0
A,0.36,S008,0.0
A,0.36,S009,25.0
A,0.36,S010,25.0
A,0.36,S011,25.0
A,0.36,S012,11.15
A,0.36,S013,25.0
A,0.36,S014,25.0
A,0.36,S015,25.0
A,0.37,S001,25.0
A,0.37,S002,10.65
A,0.37,S003,6.33
A,0.37,S004,0.0
A,0.37,S005,25.0
A,0.37,S006,25.0
A,0.37,S007,25.0
A,0.37,S008,0.0
A,0.37,S009,25.0
A,0.37,S010,25.0
A,0.37,S011,25.0
A,0.37,S012,7.34
A,0.37,S013,25.0
A,0.37,S014,25.0
A,0.37,S015,25.0
A,0.38,S001,25.0
A,0.38,S002,6.52
A,0.38,S003,0.0
A,0.38,S004,0.0
A,0.38,S005,25.0
A,0.38,S006,25.0
A,0.38,S007,25.0
A,0.38,S008,0.0
A,0.38,S009,25.0
A,0.38,S010,25.0
A,0.38,S011,25.0
A,0.38,S012,1.78
A,0.38,S013,25.0
A,0.38,S014,25.0
A,0.38,S015,25.0
A,0.39,S001,25.0
A,0.39,S002,0.0
A,0.39,S003,0.0
A,0.39,S004,0.0
A,0.39,S005,25.0
A,0.39,S006,25.0
A,0.39,S007,25.0
A,0.39,S008,0.0
A,0.39,S009,25.0
A,0.39,S010,25.0
A,0.39,S011,25.0
A,0.39,S012,0.0
A,0.39,S013,25.0
A,0.39,S014,25.0
A,0.39,S015,25.0
A,0.4,S001,25.0
A,0.4,S002,0.0
A,0.4,S003,0.0
A,0.4,S004,0.0
A,0.4,S005,25.0
A,0.4,S006,25.0
A,0.4,S007,25.0
A,0.4,S008,0.0
A,0.4,S009,25.0
A,0.4,S010,25.0
A,0.4,S011,25.0
A,0.4,S012,0.0
A,0.4,S013,25.0
A,0.4,S014,25.0
A,0.4,S015,25.0
B,0.1,S001,30.0
B,0.1,S002,30.0
B,0.1,S003,30.0
B,0.1,S004,30.0
B,0.1,S005,30.0
B,0.1,S006,30.0
B,0.1,S007,30.0
B,0.1,S008,30.0
B,0.1,S009,30.0
B,0.1,S010,30.0
B,0.1,S011,30.0
B,0.1,S012,30.0
B,0.1,S013,30.0
B,0.1,S014,30.0
B,0.1,S015,30.0
B,0.11,S001,30.0
B,0.11,S002,30.0
B,0.11,S003,30.0
B,0.11,S004,30.0
B,0.11,S005,30.0
B,0.11,S006,30.0
B,0.11,S007,30.0
B,0.11,S008,30.0
B,0.11,S009,30.0
B,0.11,S010,30.0
B,0.11,S011,30.0
B,0.11,S012,30.0
B,0.11,S013,30.0
B,0.11,S014,30.0
B,0.11,S015,30.0
B,0.12,S001,30.0
B,0.12,S002,30.0
B,0.12,S003,30.0
B,0.12,S004,30.0
B,0.12,S005,30.0
B,0.12,S006,30.0
B,0.12,S007,30.0
B,0.12,S008,30.0
B,0.12,S009,30.0
B,0.12,S010,30.0
B,0.12,S011,30.0
B,0.12,S012,30.0
B,0.12,S013,30.0
B,0.12,S014,30.0
B,0.12,S015,30.0
B,0.13,S001,30.0
B,0.13,S002,30.0
B,0.13,S003,30.0
B,0.13,S004,30.0
B,0.13,S005,30.0
B,0.13,S006,30.0
B,0.13,S007,30.0
B,0.13,S008,30.0
B,0.13,S009,30.0
B,0.13,S010,30.0
B,0.13,S011,30.0
B,0.13,S012,30.0
B,0.13,S013,30.0
B,0.13,S014,30.0
B,0.13,S015,30.0
B,0.14,S001,30.0
B,0.14,S002,30.0
B,0.14,S003,30.0
B,0.14,S004,30.0
B,0.14,S005,30.0
B,0.14,S006,30.0
B,0.14,S007,30.0
B,0.14,S008,30.0
B,0.14,S009,30.0
B,0.14,S010,30.0
B,0.14,S011,30.0
B,0.14,S012,30.0
B,0.14,S013,30.0
B,0.14,S014,30.0
B,0.14,S015,30.0
B,0.15,S001,30.0
B,0.15,S002,30.0
B,0.15,S003,30.0
B,0.15,S004,30.0
B,0.15,S005,30.0
B,0.15,S006,30.0
B,0.15,S007,30.0
B,0.15,S008,30.0
B,0.15,S009,30.0
B,0.15,S010,30.0
B,0.15,S011,30.0
B,0.15,S012,30.0
B,0.15,S013,30.0
B,0.15,S014,30.0
B,0.15,S015,30.0
B,0.16,S001,30.0
B,0.16,S002,30.0
B,0.16,S003,30.0
B,0.16,S004,30.0
B,0.16,S005,30.0
B,0.16,S006,30.0
B,0.16,S007,30.0
B,0.16,S008,30.0
B,0.16,S009,30.0
B,0.16,S010,30.0
B,0.16,S011,30.0
B,0.16,S012,30.0
B,0.16,S013,30.0
B,0.16,S014,30.0
B,0.16,S015,30.0
B,0.17,S001,30.0
B,0.17,S002,30.0
B,0.17,S003,30.0
B,0.17,S004,30.0
B,0.17,S005,30.0
B,0.17,S006,30.0
B,0.17,S007,30.0
B,0.17,S008,30.0
B,0.17,S009,30.0
B,0.17,S010,30.0
B,0.17,S011,30.0
B,0.17,S012,30.0
B,0.17,S013,30.0
B,0.17,S014,30.0
B,0.17,S015,30.0
B,0.18,S001,30.0
B,0.18,S002,30.0
B,0.18,S003,30.0
B,0.18,S004,30.0
B,0.18,S005,30.0
B,0.18,S006,30.0
B,0.18,S007,30.0
B,0.18,S008,29.81
B,0.18,S009,30.0
B,0.18,S010,30.0
B,0.18,S011,30.0
B,0.18,S012,30.0
B,0.18,S013,30.0
B,0.18,S014,30.0
B,0.18,S015,30.0
B,0.19,S001,30.0
B,0.19,S002,30.0
B,0.19,S003,30.0
B,0.19,S004,30.0
B,0.19,S005,30.0
B,0.19,S006,30.0
B,0.19,S007,30.0
B,0.19,S008,29.27
B,0.19,S009,30.0
B,0.19,S010,30.0
B,0.19,S011,30.0
B,0.19,S012,30.0
B,0.19,S013,30.0
B,0.19,S014,30.0
B,0.19,S015,30.0
B,0.2,S001,30.0
B,0.2,S002,30.0
B,0.2,S003,30.0
B,0.2,S004,30.0
B,0.2,S005,30.0
B,0.2,S006,30.0
B,0.2,S007,30.0
B,0.2,S008,28.7
B,0.2,S009,30.0
B,0.2,S010,30.0
B,0.2,S011,30.0
B,0.2,S012,30.0
B,0.2,S013,30.0
B,0.2,S014,30.0
B,0.2,S015,30.0
B,0.21,S001,30.0
B,0.21,S002,30.0
B,0.21,S003,30.0
B,0.21,S004,29.72
B,0.21,S005,30.0
B,0.21,S006,30.0
B,0.21,S007,30.0
B,0.21,S008,28.1
B,0.21,S009,30.0
B,0.21,S010,30.0
B,0.21,S011,30.0
B,0.21,S012,30.0
B,0.21,S013,30.0
B,0.21,S014,30.0
B,0.21,S015,30.0
B,0.22,S001,30.0
B,0.22,S002,30.0
B,0.22,S003,30.0
B,0.22,S004,29.15
B,0.22,S005,30.0
B,0.22,S006,30.0
B,0.22,S007,30.0
B,0.22,S008,27.47
B,0.22,S009,30.0
B,0.22,S010,30.0
B,0.22,S011,30.0
B,0.22,S012,30.0
B,0.22,S013,30.0
B,0.22,S014,30.0
B,0.22,S015,30.0
B,0.23,S001,30.0
B,0.23,S002,30.0
B,0.23,S003,30.0
B,0.23,S004,28.55
B,0.23,S005,30.0
B,0.23,S006,30.0
B,0.23,S007,30.0
B,0.23,S008,26.81
B,0.23,S009,30.0
B,0.23,S010,30.0
B,0.23,S011,30.0
B,0.23,S012,30.0
B,0.23,S013,30.0
B,0.23,S014,30.0
B,0.23,S015,30.0
B,0.24,S001,30.0
B,0.24,S002,30.0
B,0.24,S003,29.62
B,0.24,S004,27.91
B,0.24,S005,30.0
B,0.24,S006,30.0
B,0.24,S007,30.0
B,0.24,S008,26.1
B,0.24,S009,30.0
B,0.24,S010,30.0
B,0.24,S011,30.0
B,0.24,S012,29.83
B,0.24,S013,30.0
B,0.24,S014,30.0
B,0.24,S015,30.0
B,0.25,S001,30.0
B,0.25,S002,29.88
B,0.25,S003,29.01
B,0.25,S004,27.24
B,0.25,S005,30.0
B,0.25,S006,30.0
B,0.25,S007,30.0
B,0.25,S008,25.36
B,0.25,S009,30.0
B,0.25,S010,30.0
B,0.25,S011,30.0
B,0.25,S012,29.24
B,0.25,S013,30.0
B,0.25,S014,30.0
B,0.25,S015,30.0
B,0.26,S001,30.0
B,0.26,S002,29.29
B,0.26,S003,28.37
B,0.26,S004,26.53
B,0.26,S005,30.0
B,0.26,S006,30.0
B,0.26,S007,30.0
B,0.26,S008,24.57
B,0.26,S009,30.0
B,0.26,S010,30.0
B,0.26,S011,30.0
B,0.26,S012,28.62
B,0.26,S013,30.0
B,0.26,S014,30.0
B,0.26,S015,30.0
B,0.27,S001,30.0
B,0.27,S002,28.66
B,0.27,S003,27.69
B,0.27,S004,25.78
B,0.27,S005,30.0
B,0.27,S006,30.0
B,0.27,S007,30.0
B,0.27,S008,23.73
B,0.27,S009,30.0
B,0.27,S010,30.0
B,0.27,S011,30.0
B,0.27,S012,27.96
B,0.27,S013,30.0
B,0.27,S014,30.0
B,0.27,S015,30.0
B,0.28,S001,30.0
B,0.28,S002,28.0
B,0.28,S003,26.97
B,0.28,S004,24.98
B,0.28,S005,30.0
B,0.28,S006,30.0
B,0.28,S007,30.0
B,0.28,S008,22.83
B,0.28,S009,30.0
B,0.28,S010,30.0
B,0.28,S011,30.0
B,0.28,S012,27.26
B,0.28,S013,30.0
B,0.28,S014,30.0
B,0.28,S015,30.0
B,0.29,S001,30.0
B,0.29,S002,27.31
B,0.29,S003,26.21
B,0.29,S004,24.13
B,0.29,S005,30.0
B,0.29,S006,30.0
B,0.29,S007,30.0
B,0.29,S008,21.87
B,0.29,S009,30.0
B,0.29,S010,30.0
B,0.29,S011,30.0
B,0.29,S012,26.53
B,0.29,S013,30.0
B,0.29,S014,30.0
