机型,ρ,服务区,q_max
C,0.19,S009,80.0
C,0.19,S010,80.0
C,0.19,S011,80.0
C,0.19,S012,69.02
C,0.19,S013,80.0
C,0.19,S014,80.0
C,0.19,S015,80.0
C,0.2,S001,80.0
C,0.2,S002,68.55
C,0.2,S003,68.15
C,0.2,S004,63.32
C,0.2,S005,80.0
C,0.2,S006,80.0
C,0.2,S007,80.0
C,0.2,S008,58.57
C,0.2,S009,80.0
C,0.2,S010,80.0
C,0.2,S011,80.0
C,0.2,S012,67.8
C,0.2,S013,80.0
C,0.2,S014,80.0
C,0.2,S015,80.0
C,0.21,S001,80.0
C,0.21,S002,67.31
C,0.21,S003,66.88
C,0.21,S004,61.87
C,0.21,S005,80.0
C,0.21,S006,80.0
C,0.21,S007,80.0
C,0.21,S008,56.93
C,0.21,S009,80.0
C,0.21,S010,80.0
C,0.21,S011,80.0
C,0.21,S012,66.52
C,0.21,S013,80.0
C,0.21,S014,80.0
C,0.21,S015,80.0
C,0.22,S001,80.0
C,0.22,S002,66.0
C,0.22,S003,65.54
C,0.22,S004,60.34
C,0.22,S005,80.0
C,0.22,S006,80.0
C,0.22,S007,80.0
C,0.22,S008,55.19
C,0.22,S009,80.0
C,0.22,S010,80.0
C,0.22,S011,80.0
C,0.22,S012,65.18
C,0.22,S013,80.0
C,0.22,S014,80.0
C,0.22,S015,80.0
C,0.23,S001,80.0
C,0.23,S002,64.62
C,0.23,S003,64.13
C,0.23,S004,58.72
C,0.23,S005,80.0
C,0.23,S006,80.0
C,0.23,S007,80.0
C,0.23,S008,53.34
C,0.23,S009,80.0
C,0.23,S010,80.0
C,0.23,S011,80.0
C,0.23,S012,63.76
C,0.23,S013,80.0
C,0.23,S014,80.0
C,0.23,S015,80.0
C,0.24,S001,80.0
C,0.24,S002,63.17
C,0.24,S003,62.65
C,0.24,S004,57.01
C,0.24,S005,80.0
C,0.24,S006,80.0
C,0.24,S007,80.0
C,0.24,S008,51.38
C,0.24,S009,80.0
C,0.24,S010,80.0
C,0.24,S011,80.0
C,0.24,S012,62.27
C,0.24,S013,80.0
C,0.24,S014,80.0
C,0.24,S015,79.27
C,0.25,S001,80.0
C,0.25,S002,61.64
C,0.25,S003,61.08
C,0.25,S004,55.19
C,0.25,S005,80.0
C,0.25,S006,80.0
C,0.25,S007,80.0
C,0.25,S008,49.29
C,0.25,S009,80.0
C,0.25,S010,80.0
C,0.25,S011,80.0
C,0.25,S012,60.7
C,0.25,S013,80.0
C,0.25,S014,80.0
C,0.25,S015,78.33
C,0.26,S001,80.0
C,0.26,S002,60.02
C,0.26,S003,59.42
C,0.26,S004,53.27
C,0.26,S005,80.0
C,0.26,S006,80.0
C,0.26,S007,80.0
C,0.26,S008,47.05
C,0.26,S009,80.0
C,0.26,S010,80.0
C,0.26,S011,80.0
C,0.26,S012,59.03
C,0.26,S013,80.0
C,0.26,S014,80.0
C,0.26,S015,77.33
C,0.27,S001,80.0
C,0.27,S002,58.31
C,0.27,S003,57.67
C,0.27,S004,51.21
C,0.27,S005,80.0
C,0.27,S006,80.0
C,0.27,S007,80.0
C,0.27,S008,44.66
C,0.27,S009,80.0
C,0.27,S010,80.0
C,0.27,S011,80.0
C,0.27,S012,57.27
C,0.27,S013,80.0
C,0.27,S014,80.0
C,0.27,S015,76.3
C,0.28,S001,80.0
C,0.28,S002,56.49
C,0.28,S003,55.81
C,0.28,S004,49.02
C,0.28,S005,80.0
C,0.28,S006,80.0
C,0.28,S007,80.0
C,0.28,S008,42.08
C,0.28,S009,80.0
C,0.28,S010,80.0
C,0.28,S011,80.0
C,0.28,S012,55.39
C,0.28,S013,80.0
C,0.28,S014,80.0
C,0.28,S015,75.21
C,0.29,S001,80.0
C,0.29,S002,54.55
C,0.29,S003,53.83
C,0.29,S004,46.67
C,0.29,S005,80.0
C,0.29,S006,80.0
C,0.29,S007,80.0
C,0.29,S008,39.28
C,0.29,S009,79.94
C,0.29,S010,80.0
C,0.29,S011,80.0
C,0.29,S012,53.39
C,0.29,S013,80.0
C,0.29,S014,80.0
C,0.29,S015,74.06
C,0.3,S001,80.0
C,0.3,S002,52.48
C,0.3,S003,51.71
C,0.3,S004,44.13
C,0.3,S005,80.0
C,0.3,S006,80.0
C,0.3,S007,80.0
C,0.3,S008,36.24
C,0.3,S009,78.96
C,0.3,S010,80.0
C,0.3,S011,80.0
C,0.3,S012,51.26
C,0.3,S013,80.0
C,0.3,S014,80.0
C,0.3,S015,72.86
C,0.31,S001,80.0
C,0.31,S002,50.26
C,0.31,S003,49.46
C,0.31,S004,41.4
C,0.31,S005,80.0
C,0.31,S006,80.0
C,0.31,S007,80.0
C,0.31,S008,32.91
C,0.31,S009,77.93
C,0.31,S010,80.0
C,0.31,S011,80.0
C,0.31,S012,48.97
C,0.31,S013,80.0
C,0.31,S014,79.09
C,0.31,S015,71.59
C,0.32,S001,80.0
C,0.32,S002,47.88
C,0.32,S003,47.03
C,0.32,S004,38.42
C,0.32,S005,80.0
C,0.32,S006,80.0
C,0.32,S007,80.0
C,0.32,S008,29.21
C,0.32,S009,76.85
C,0.32,S010,80.0
C,0.32,S011,80.0
C,0.32,S012,46.52
C,0.32,S013,80.0
C,0.32,S014,78.03
C,0.32,S015,70.25
C,0.33,S001,80.0
C,0.33,S002,45.31
C,0.33,S003,44.42
C,0.33,S004,35.17
C,0.33,S005,80.0
C,0.33,S006,80.0
C,0.33,S007,80.0
C,0.33,S008,25.06
C,0.33,S009,75.72
C,0.33,S010,80.0
C,0.33,S011,80.0
C,0.33,S012,43.87
C,0.33,S013,80.0
C,0.33,S014,76.91
C,0.33,S015,68.83
C,0.34,S001,80.0
C,0.34,S002,42.53
C,0.34,S003,41.6
C,0.34,S004,31.58
C,0.34,S005,79.6
C,0.34,S006,80.0
C,0.34,S007,80.0
C,0.34,S008,20.3
C,0.34,S009,74.52
C,0.34,S010,80.0
C,0.34,S011,80.0
C,0.34,S012,40.99
C,0.34,S013,80.0
C,0.34,S014,75.73
C,0.34,S015,67.34
C,0.35,S001,80.0
C,0.35,S002,39.5
C,0.35,S003,38.52
C,0.35,S004,27.57
C,0.35,S005,78.53
C,0.35,S006,80.0
C,0.35,S007,80.0
C,0.35,S008,14.62
C,0.35,S009,73.26
C,0.35,S010,80.0
C,0.35,S011,80.0
C,0.35,S012,37.86
C,0.35,S013,80.0
C,0.35,S014,74.49
C,0.35,S015,65.75
C,0.36,S001,80.0
C,0.36,S002,36.17
C,0.36,S003,35.16
C,0.36,S004,23.02
C,0.36,S005,77.4
C,0.36,S006,80.0
C,0.36,S007,80.0
C,0.36,S008,7.14
C,0.36,S009,71.92
C,0.36,S010,80.0
C,0.36,S011,80.0
C,0.36,S012,34.41
C,0.36,S013,80.0
C,0.36,S014,73.18
C,0.36,S015,64.07
C,0.37,S001,80.0
C,0.37,S002,32.49
C,0.37,S003,31.45
C,0.37,S004,17.7
C,0.37,S005,76.2
C,0.37,S006,80.0
C,0.37,S007,80.0
C,0.37,S008,0.0
C,0.37,S009,70.51
C,0.37,S010,80.0
C,0.37,S011,80.0
C,0.37,S012,30.59
C,0.37,S013,80.0
C,0.37,S014,71.79
C,0.37,S015,62.28
C,0.38,S001,80.0
C,0.38,S002,28.36
C,0.38,S003,27.31
C,0.38,S004,11.1
C,0.38,S005,74.94
C,0.38,S006,80.0
C,0.38,S007,80.0
C,0.38,S008,0.0
C,0.38,S009,69.0
C,0.38,S010,80.0
C,0.38,S011,80.0
C,0.38,S012,26.29
C,0.38,S013,80.0
C,0.38,S014,70.31
C,0.38,S015,60.36
C,0.39,S001,80.0
C,0.39,S002,23.64
C,0.39,S003,22.61
C,0.39,S004,0.0
C,0.39,S005,73.6
C,0.39,S006,80.0
C,0.39,S007,80.0
C,0.39,S008,0.0
C,0.39,S009,67.41
C,0.39,S010,80.0
C,0.39,S011,80.0
C,0.39,S012,21.36
C,0.39,S013,79.87
C,0.39,S014,68.75
C,0.39,S015,58.32
C,0.4,S001,80.0
C,0.4,S002,18.07
C,0.4,S003,17.11
C,0.4,S004,0.0
C,0.4,S005,72.18
C,0.4,S006,80.0
C,0.4,S007,80.0
C,0.4,S008,0.0
C,0.4,S009,65.71
C,0.4,S010,79.17
C,0.4,S011,80.0
C,0.4,S012,15.48
C,0.4,S013,78.72
C,0.4,S014,67.08
C,0.4,S015,56.13
