name,n_trips,total_E,makespan,tardiness,hard_viol
①基线（FFD 组批 + 紧迫度派工）,25,84.77853067400346,14367.235622004755,743943.2211624251,0
②仅顺序（组批冻结）,25,78.2073282993341,9790.404958746552,29525.88214917322,0
③ALNS（派工顺序固定）,26,74.99593025213132,7188.69835761383,0.0,0
④ALNS 全量（组批 + 顺序）,30,85.1796910382938,8041.741527544462,0.0,0
