迭代,最优目标值,makespan_s,加权时延,能耗kWh,架次,档案最优目标值,档案架次
1,3.8,14367.235622004755,743943.2211624251,84.77853067400346,25,,0
67,0.8258435808809135,9848.042401728053,89428.03662154594,74.2227490279228,21,,0
133,0.3221050171475618,9765.59680099666,87927.48079722583,70.30648766559692,20,0.3221050171475618,20
199,0.24238895578145292,9884.475552174197,26776.575541163802,69.42417964795474,20,0.24238895578145292,20
265,0.24238895578145292,9884.475552174197,26776.575541163802,69.42417964795474,20,0.24238895578145292,20
331,0.2059937577251291,9865.202846330307,0.0,70.54049056902073,20,0.2059937577251291,20
397,0.2059937577251291,9865.202846330307,0.0,70.54049056902073,20,0.2059937577251291,20
463,0.2059937577251291,9865.202846330307,0.0,70.54049056902073,20,0.2059937577251291,20
529,0.2059937577251291,9865.202846330307,0.0,70.54049056902073,20,0.2059937577251291,20
595,0.19777700109873908,9471.695917996927,0.0,68.93929987165676,20,0.19777700109873908,20
661,0.19777700109873908,9471.695917996927,0.0,68.93929987165676,20,0.19777700109873908,20
727,0.19777700109873908,9471.695917996927,0.0,68.93929987165676,20,0.19777700109873908,20
859,0.19752302394002036,9459.532752390529,0.0,69.4585406188514,20,0.19752302394002036,20
925,0.19752302394002036,9459.532752390529,0.0,69.4585406188514,20,0.19752302394002036,20
991,0.19752302394002036,9459.532752390529,0.0,69.4585406188514,20,0.19752302394002036,20
1057,0.19752302394002036,9459.532752390529,0.0,69.4585406188514,20,0.19752302394002036,20
1123,0.19269317469681715,9228.227478737655,0.0,68.0867727652513,20,0.19269317469681715,20
1189,0.18509935841422803,8864.553652730408,0.0,68.05699355107457,20,0.18509935841422803,20
1255,0.18509935841422803,8864.553652730408,0.0,68.05699355107457,20,0.18509935841422803,20
1321,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
1387,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
1453,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
1585,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
1651,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
1717,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
1783,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
1849,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
1915,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
1981,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2047,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2113,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2179,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2245,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2311,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2377,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2443,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2509,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2575,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2641,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2707,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2839,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2905,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
2971,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3037,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3103,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3169,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3301,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3367,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3433,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3499,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3565,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3697,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3763,0.18372122273657027,8798.553652730408,0.0,68.07076536433523,20,0.18372122273657027,20
3829,0.18234308705891253,8732.553652730408,0.0,68.71263503650172,20,0.18234308705891253,20
3895,0.18234308705891253,8732.553652730408,0.0,68.71263503650172,20,0.18234308705891253,20
3961,0.18234308705891253,8732.553652730408,0.0,68.71263503650172,20,0.18234308705891253,20
