机型,ρ,κ,平均q_max,最小q_max
B,0.14,0.95,30.0,30.0
B,0.14,0.9,30.0,30.0
B,0.14,0.85,30.0,30.0
B,0.14,0.8,30.0,30.0
B,0.15,1.0,30.0,30.0
B,0.15,0.95,30.0,30.0
B,0.15,0.9,30.0,30.0
B,0.15,0.85,30.0,30.0
B,0.15,0.8,30.0,30.0
B,0.16,1.0,30.0,30.0
B,0.16,0.95,30.0,30.0
B,0.16,0.9,30.0,30.0
B,0.16,0.85,30.0,30.0
B,0.16,0.8,30.0,30.0
B,0.17,1.0,30.0,30.0
B,0.17,0.95,30.0,30.0
B,0.17,0.9,30.0,30.0
B,0.17,0.85,30.0,30.0
B,0.17,0.8,30.0,29.98
B,0.18,1.0,29.99,29.81
B,0.18,0.95,29.98,29.73
B,0.18,0.9,29.98,29.65
B,0.18,0.85,29.97,29.55
B,0.18,0.8,29.96,29.44
B,0.19,1.0,29.95,29.27
B,0.19,0.95,29.95,29.19
B,0.19,0.9,29.94,29.1
B,0.19,0.85,29.93,29.0
B,0.19,0.8,29.93,28.88
B,0.2,1.0,29.91,28.7
B,0.2,0.95,29.91,28.62
B,0.2,0.9,29.9,28.52
B,0.2,0.85,29.89,28.42
B,0.2,0.8,29.87,28.3
B,0.21,1.0,29.85,28.1
B,0.21,0.95,29.84,28.01
B,0.21,0.9,29.83,27.92
B,0.21,0.85,29.81,27.81
B,0.21,0.8,29.79,27.68
B,0.22,1.0,29.77,27.47
B,0.22,0.95,29.76,27.38
B,0.22,0.9,29.75,27.28
B,0.22,0.85,29.73,27.16
B,0.22,0.8,29.71,27.03
B,0.23,1.0,29.69,26.81
B,0.23,0.95,29.68,26.71
B,0.23,0.9,29.65,26.6
B,0.23,0.85,29.62,26.48
B,0.23,0.8,29.58,26.34
B,0.24,1.0,29.56,26.1
B,0.24,0.95,29.53,26.0
B,0.24,0.9,29.49,25.89
B,0.24,0.85,29.45,25.76
B,0.24,0.8,29.41,25.61
B,0.25,1.0,29.38,25.36
B,0.25,0.95,29.34,25.25
B,0.25,0.9,29.3,25.13
B,0.25,0.85,29.25,25.0
B,0.25,0.8,29.19,24.84
B,0.26,1.0,29.16,24.57
B,0.26,0.95,29.12,24.46
B,0.26,0.9,29.07,24.33
B,0.26,0.85,29.02,24.19
B,0.26,0.8,28.96,24.03
B,0.27,1.0,28.92,23.73
B,0.27,0.95,28.88,23.61
B,0.27,0.9,28.83,23.48
B,0.27,0.85,28.78,23.33
B,0.27,0.8,28.71,23.15
B,0.28,1.0,28.67,22.83
B,0.28,0.95,28.62,22.71
B,0.28,0.9,28.57,22.56
B,0.28,0.85,28.52,22.41
B,0.28,0.8,28.45,22.22
B,0.29,1.0,28.4,21.87
B,0.29,0.95,28.36,21.74
B,0.29,0.9,28.3,21.59
B,0.29,0.85,28.24,21.42
B,0.29,0.8,28.17,21.23
B,0.3,1.0,28.12,20.85
B,0.3,0.95,28.07,20.7
B,0.3,0.9,28.01,20.54
B,0.3,0.85,27.94,20.36
B,0.3,0.8,27.87,20.16
B,0.31,1.0,27.81,19.74
B,0.31,0.95,27.76,19.59
B,0.31,0.9,27.7,19.41
B,0.31,0.85,27.63,19.22
B,0.31,0.8,27.55,19.0
B,0.32,1.0,27.49,18.54
B,0.32,0.95,27.43,18.37
B,0.32,0.9,27.36,18.19
B,0.32,0.85,27.29,17.98
B,0.32,0.8,27.21,17.75
B,0.33,1.0,27.14,17.23
B,0.33,0.95,27.07,17.06
B,0.33,0.9,27.0,16.86
B,0.33,0.85,26.93,16.63
B,0.33,0.8,26.84,16.38
B,0.34,1.0,26.76,15.8
B,0.34,0.95,26.69,15.61
B,0.34,0.9,26.61,15.4
B,0.34,0.85,26.53,15.15
B,0.34,0.8,26.43,14.87
B,0.35,1.0,26.34,14.22
B,0.35,0.95,26.27,14.01
B,0.35,0.9,26.19,13.78
B,0.35,0.85,26.1,13.51
B,0.35,0.8,25.99,13.2
B,0.36,1.0,25.89,12.46
B,0.36,0.95,25.81,12.22
B,0.36,0.9,25.71,11.96
B,0.36,0.85,25.6,11.66
B,0.36,0.8,25.47,11.32
B,0.37,1.0,25.36,10.45
B,0.37,0.95,25.26,10.18
B,0.37,0.9,25.15,9.88
B,0.37,0.85,25.03,9.55
B,0.37,0.8,24.89,9.16
B,0.38,1.0,24.75,8.09
B,0.38,0.95,24.64,7.78
B,0.38,0.9,24.52,7.43
B,0.38,0.85,24.38,7.03
B,0.38,0.8,24.22,6.57
B,0.39,1.0,24.05,5.17
B,0.39,0.95,23.93,4.77
B,0.39,0.9,23.79,4.32
B,0.39,0.85,23.63,3.78
B,0.39,0.8,23.45,3.14
B,0.4,1.0,23.17,0.45
B,0.4,0.95,23.03,0.0
B,0.4,0.9,22.91,0.0
B,0.4,0.85,22.78,0.0
B,0.4,0.8,22.62,0.0
C,0.1,1.0,78.68,71.2
C,0.1,0.95,78.65,71.1
C,0.1,0.9,78.6,70.99
C,0.1,0.85,78.56,70.86
C,0.1,0.8,78.51,70.72
C,0.11,1.0,78.39,70.18
C,0.11,0.95,78.35,70.08
C,0.11,0.9,78.31,69.96
C,0.11,0.85,78.26,69.83
C,0.11,0.8,78.21,69.68
C,0.12,1.0,78.08,69.12
C,0.12,0.95,78.04,69.01
C,0.12,0.9,78.0,68.89
C,0.12,0.85,77.95,68.75
C,0.12,0.8,77.89,68.6
C,0.13,1.0,77.76,68.01
C,0.13,0.95,77.72,67.89
C,0.13,0.9,77.68,67.77
C,0.13,0.85,77.63,67.63
C,0.13,0.8,77.57,67.47
C,0.14,1.0,77.43,66.84
C,0.14,0.95,77.39,66.73
C,0.14,0.9,77.34,66.6
C,0.14,0.85,77.29,66.45
C,0.14,0.8,77.23,66.28
C,0.15,1.0,77.09,65.63
C,0.15,0.95,77.04,65.51
C,0.15,0.9,76.99,65.37
C,0.15,0.85,76.94,65.22
C,0.15,0.8,76.87,65.05
C,0.16,1.0,76.72,64.35
C,0.16,0.95,76.68,64.23
C,0.16,0.9,76.63,64.08
C,0.16,0.85,76.57,63.93
C,0.16,0.8,76.5,63.75
C,0.17,1.0,76.34,63.02
C,0.17,0.95,76.3,62.88
C,0.17,0.9,76.24,62.74
C,0.17,0.85,76.18,62.57
C,0.17,0.8,76.12,62.38
C,0.18,1.0,75.95,61.61
C,0.18,0.95,75.9,61.47
C,0.18,0.9,75.84,61.32
C,0.18,0.85,75.78,61.15
C,0.18,0.8,75.71,60.95
C,0.19,1.0,75.53,60.13
C,0.19,0.95,75.48,59.99
C,0.19,0.9,75.42,59.83
C,0.19,0.85,75.36,59.65
C,0.19,0.8,75.28,59.45
C,0.2,1.0,75.09,58.57
C,0.2,0.95,75.04,58.42
C,0.2,0.9,74.98,58.26
C,0.2,0.85,74.91,58.07
C,0.2,0.8,74.83,57.86
C,0.21,1.0,74.63,56.93
C,0.21,0.95,74.58,56.77
C,0.21,0.9,74.51,56.6
C,0.21,0.85,74.44,56.4
C,0.21,0.8,74.36,56.18
C,0.22,1.0,74.15,55.19
C,0.22,0.95,74.09,55.02
C,0.22,0.9,74.02,54.84
C,0.22,0.85,73.95,54.63
C,0.22,0.8,73.87,54.4
C,0.23,1.0,73.64,53.34
C,0.23,0.95,73.58,53.17
C,0.23,0.9,73.5,52.98
C,0.23,0.85,73.41,52.76
C,0.23,0.8,73.3,52.52
C,0.24,1.0,73.05,51.38
C,0.24,0.95,72.97,51.2
C,0.24,0.9,72.89,51.0
C,0.24,0.85,72.79,50.77
C,0.24,0.8,72.69,50.51
C,0.25,1.0,72.42,49.29
C,0.25,0.95,72.34,49.1
C,0.25,0.9,72.25,48.89
C,0.25,0.85,72.15,48.65
C,0.25,0.8,72.03,48.38
C,0.26,1.0,71.74,47.05
C,0.26,0.95,71.66,46.85
C,0.26,0.9,71.57,46.63
C,0.26,0.85,71.46,46.38
C,0.26,0.8,71.34,46.09
C,0.27,1.0,71.03,44.66
C,0.27,0.95,70.94,44.44
C,0.27,0.9,70.84,44.21
C,0.27,0.85,70.73,43.94
C,0.27,0.8,70.61,43.64
C,0.28,1.0,70.27,42.08
C,0.28,0.95,70.17,41.85
C,0.28,0.9,70.07,41.6
C,0.28,0.85,69.96,41.32
C,0.28,0.8,69.82,41.0
C,0.29,1.0,69.45,39.28
C,0.29,0.95,69.35,39.04
C,0.29,0.9,69.23,38.78
C,0.29,0.85,69.1,38.48
C,0.29,0.8,68.96,38.14
C,0.3,1.0,68.51,36.24
C,0.3,0.95,68.4,35.99
C,0.3,0.9,68.26,35.7
C,0.3,0.85,68.11,35.38
C,0.3,0.8,67.94,35.02
C,0.31,1.0,67.44,32.91
C,0.31,0.95,67.31,32.63
C,0.31,0.9,67.17,32.33
C,0.31,0.85,67.01,31.98
C,0.31,0.8,66.83,31.59
C,0.32,1.0,66.28,29.21
C,0.32,0.95,66.14,28.92
C,0.32,0.9,65.99,28.58
C,0.32,0.85,65.82,28.21
C,0.32,0.8,65.63,27.79
C,0.33,1.0,65.02,25.06
C,0.33,0.95,64.88,24.74
C,0.33,0.9,64.71,24.38
C,0.33,0.85,64.53,23.97
C,0.33,0.8,64.33,23.5
C,0.34,1.0,63.61,20.3
C,0.34,0.95,63.45,19.94
C,0.34,0.9,63.27,19.53
C,0.34,0.85,63.07,19.07
C,0.34,0.8,62.84,18.55
C,0.35,1.0,62.01,14.62
C,0.35,0.95,61.83,14.19
C,0.35,0.9,61.64,13.71
C,0.35,0.85,61.42,13.17
C,0.35,0.8,61.17,12.55
C,0.36,1.0,60.17,7.14
C,0.36,0.95,59.97,6.55
C,0.36,0.9,59.75,5.87
C,0.36,0.85,59.5,5.08
C,0.36,0.8,59.21,4.14
C,0.37,1.0,58.2,0.0
C,0.37,0.95,58.03,0.0
C,0.37,0.9,57.84,0.0
C,0.37,0.85,57.62,0.0
C,0.37,0.8,57.38,0.0
C,0.38,1.0,56.51,0.0
C,0.38,0.95,56.32,0.0
C,0.38,0.9,56.11,0.0
C,0.38,0.85,55.87,0.0
C,0.38,0.8,55.59,0.0
C,0.39,1.0,54.37,0.0
C,0.39,0.95,54.2,0.0
C,0.39,0.9,54.01,0.0
C,0.39,0.85,53.79,0.0
C,0.39,0.8,53.54,0.0
C,0.4,1.0,52.64,0.0
C,0.4,0.95,52.45,0.0
C,0.4,0.9,52.22,0.0
C,0.4,0.85,51.97,0.0
C,0.4,0.8,51.69,0.0
