K,分区数,资源规模R,工作量均衡CV_W,总量缺口,总量冗余,分组缺口合计,分组冗余合计,库存可行分区数,中继总需求最小,需求_A型运输无人机,库存_A型运输无人机,总量缺口_A型运输无人机,分组缺口_A型运输无人机,最小需求_A型运输无人机,最小缺口_A型运输无人机,需求_B型运输无人机,库存_B型运输无人机,总量缺口_B型运输无人机,分组缺口_B型运输无人机,最小需求_B型运输无人机,最小缺口_B型运输无人机,需求_C型运输无人机,库存_C型运输无人机,总量缺口_C型运输无人机,分组缺口_C型运输无人机,最小需求_C型运输无人机,最小缺口_C型运输无人机,需求_A型共享电池,库存_A型共享电池,总量缺口_A型共享电池,分组缺口_A型共享电池,最小需求_A型共享电池,最小缺口_A型共享电池,需求_B型共享电池,库存_B型共享电池,总量缺口_B型共享电池,分组缺口_B型共享电池,最小需求_B型共享电池,最小缺口_B型共享电池,需求_C型共享电池,库存_C型共享电池,总量缺口_C型共享电池,分组缺口_C型共享电池,最小需求_C型共享电池,最小缺口_C型共享电池,需求_中继无人机,库存_中继无人机,总量缺口_中继无人机,分组缺口_中继无人机,最小需求_中继无人机,最小缺口_中继无人机,需求_中继能源组件,库存_中继能源组件,总量缺口_中继能源组件,分组缺口_中继能源组件,最小需求_中继能源组件,最小缺口_中继能源组件
2,2047,31,0.636156,1,0,0,29,0,2,4,4,0,0,4,0,2,2,0,0,2,0,2,2,0,0,2,0,6,6,0,0,6,0,4,4,0,0,4,0,4,4,0,0,4,0,3,2,1,0,2,0,6,6,0,0,4,0
3,86526,34,0.904543,4,0,0,56,0,3,4,4,0,0,4,0,2,2,0,0,2,0,3,2,1,0,2,0,6,6,0,0,6,0,4,4,0,0,4,0,4,4,0,0,4,0,4,2,2,0,3,1,7,6,1,0,4,0
